27_super_goats-orbus_maximus.json	(mean=5.0 std=0.0 motion=0.0)
Adam Fx 2 Zylot - Age of Science Fierceness BEAST2 - mash0000 - ethics is for weiner dogs.json	(mean=0.0 std=0.0 motion=0.0)
Flexi - intensive shader fractal.json	(mean=29.1 std=0.0 motion=0.0)
Flexi, Phat, Zylot + Eo.S - work with lines of code.json	(mean=255.0 std=0.0 motion=0.0)
Geiss - Bas Relief.json	(mean=0.0 std=0.0 motion=0.0)
Geiss - Iris Storm.json	(mean=255.0 std=0.0 motion=0.0)
Goody - Sonic Infection.json	(mean=0.0 std=0.0 motion=0.0)
ORB - Supernova Meltdown.json	(mean=255.0 std=0.0 motion=0.0)
Rocke - LoZ Tribute.json	(mean=255.0 std=0.0 motion=0.0)
Royal-Mashup Royal - Mashup (383).json	(mean=255.0 std=0.0 motion=0.0)
Zylot & Krash - Snowflake Halo (Ice Cube mix).json	(mean=12.0 std=0.0 motion=0.0)
flexi - fractal descent.json	(mean=255.0 std=0.0 motion=0.0)
flexi - julia set shader example 2 (geiss sharpen mix).json	(mean=171.9 std=0.0 motion=0.0)
flexi - julia set shader example 2.json	(mean=171.9 std=0.0 motion=0.0)
flexi - julia set shader example.json	(mean=21.0 std=0.0 motion=0.0)
flexi - julia vs. sierpinski.json	(mean=76.2 std=0.0 motion=0.0)
shifter - robotopia.json	(mean=8.0 std=0.0 motion=0.0)
martin - shifter - armorial bearings of robotopia.json	(mean=255.0 std=0.0 motion=0.0)
lit claw (explorers grid) - i don′t have either a belfry or bats bitch.json	(mean=0.0 std=0.0 motion=0.0)
Rovastar - Fractopia (Fantic Dancing Lights Mix).json	(mean=0.0 std=0.0 motion=0.0)
Unchained - All You Can Eat.json	(mean=255.0 std=0.0 motion=0.0)
Flexi - using jedi forces.json	(mean=0.0 std=0.1 motion=0.0)
Rovastar - Starquake (Sunquake MD2 Mix).json	(mean=255.0 std=0.0 motion=0.1)
Zylot - Digiscape Advanced Processor.json	(mean=255.0 std=0.0 motion=0.1)
Rovastar & Zylot - Crystal Ball (Many Visions Mix).json	(mean=0.0 std=0.1 motion=0.0)
shifter + Aderrasi - Airhandler (Sadako).json	(mean=0.0 std=0.1 motion=0.0)
Eo.S. - skylight a1 [music warp switch].json	(mean=255.0 std=0.0 motion=0.2)
custom1.json	(mean=255.0 std=0.0 motion=0.2)
